player,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Mislav Orsic,FW,Croatia,29-354,1992,6,1,162,1.8,1,2,1,0,0,0,0,0.56,1.11,1.67,0.56,1.67,0.4,0.4,1.1,1.4,0.23,0.68,0.9,0.23,0.9
Mitchell Duke,FW,Australia,31-334,1991,4,4,270,3,1,0,1,0,0,1,0,0.33,0,0.33,0.33,0.33,0.4,0.4,0,0.4,0.12,0.01,0.13,0.12,0.13
Mohamed Ali Ben Romdhane,MF,Tunisia,23-103,1999,1,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohamed Drager,DF,Tunisia,26-176,1996,2,2,132,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.14,0.01,0.15,0.14,0.15
Mohamed Kanno,MF,Saudi Arabia,28-087,1994,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.1,0,0.1,0.1,0.1
Mohammed Al-Breik,DF,Saudi Arabia,30-094,1992,2,1,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.1,0.51,0.07,0.58,0.03,0.1
Mohammed Al-Owais,GK,Saudi Arabia,31-069,1991,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohammed Muntari,FW,Qatar,28-363,1993,3,0,63,0.7,1,0,1,0,0,0,0,1.43,0,1.43,1.43,1.43,0.2,0.2,0,0.2,0.3,0.03,0.33,0.3,0.33
Mohammed Salisu,DF,Ghana,23-245,1999,3,3,270,3,1,0,1,0,0,0,0,0.33,0,0.33,0.33,0.33,0.8,0.8,0.2,1,0.26,0.08,0.34,0.26,0.34
Mohammed Waad,MF,Qatar,23-091,1999,2,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moises Caicedo,MF,Ecuador,21-046,2001,3,3,269,3,1,0,1,0,0,1,0,0.33,0,0.33,0.33,0.33,0.5,0.5,0,0.5,0.17,0,0.17,0.17,0.17
Montassar Talbi,DF,Tunisia,24-206,1998,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morteza Pouraliganji,DF,IR Iran,30-243,1992,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.03,0.07,0.09,0.03,0.09
Moumi Ngamaleu,FW,Cameroon,28-162,1994,2,1,95,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.15,0.15,0,0.15
Munir,GK,Morocco,33-222,1989,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Musab Kheder,DF,Qatar,29-083,1993,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Na Sang-ho,FW,Korea Republic,26-128,1996,2,1,119,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.03,0.09,0.12,0.03,0.12
Nader Ghandri,DF,Tunisia,27-303,1995,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nahuel Molina,DF,Argentina,24-256,1998,7,6,567,6.3,1,1,1,0,0,0,0,0.16,0.16,0.32,0.16,0.32,0.5,0.5,0.3,0.8,0.07,0.05,0.12,0.07,0.12
Nampalys Mendy,MF,Senegal,30-178,1992,4,3,272,3,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0.01,0.03,0.02,0.03
Nasser Al-Dawsari,FW,Saudi Arabia,23-364,1998,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,1.27,1.27,0,1.27
Nathan Ake,DF,Netherlands,27-303,1995,5,5,479,5.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Atkinson,DF,Australia,23-188,1999,1,1,84,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nawaf Al Abed,MF,Saudi Arabia,32-326,1990,2,0,88,1,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.13,0.06,0.2,0.13,0.2
Nayef Aguerd,DF,Morocco,26-263,1996,4,4,353,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.04,0.01,0.05,0.04,0.05
Naim Sliti,MF,Tunisia,30-144,1992,2,1,114,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,0.11,0.1,0.21,0.11,0.21
Neco Williams,DF,Wales,21-249,2001,3,3,204,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.04,0.03,0.07,0.04,0.07
Nemanja Gudelj,MF,Serbia,31-032,1991,2,1,92,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nemanja Maksimovic,MF,Serbia,27-326,1995,3,1,122,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.07,0.07,0,0.07
Nemanja Radonjic,DF,Serbia,26-306,1996,3,0,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.15,0.05,0.19,0.15,0.19
Neymar,MF,Brazil,30-316,1992,3,3,279,3.1,2,0,1,1,1,0,0,0.65,0,0.65,0.32,0.32,2.7,1.9,0.8,2.7,0.98,0.29,1.27,0.7,0.98
Niclas Fullkrug,FW,Germany,29-312,1993,3,0,69,0.8,2,1,2,0,0,0,0,2.61,1.3,3.91,2.61,3.91,2.2,2.2,0.6,2.8,2.86,0.76,3.62,2.86,3.62
Nico Elvedi,DF,Switzerland,26-079,1996,2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0,0.04,0.04,0.04
Nico Schlotterbeck,DF,Germany,23-017,1999,2,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.07,0.07,0,0.07
Nico Williams,FW,Spain,20-159,2002,4,1,146,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.07,0,0.07,0.07,0.07
Nicola Zalewski,MF,Poland,20-329,2002,2,1,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas Jackson,FW,Senegal,21-181,2001,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas Nkoulou,DF,Cameroon,32-266,1990,2,2,180,2,0,1,0,0,0,1,0,0,0.5,0.5,0,0.5,0.3,0.3,0,0.3,0.14,0,0.14,0.14,0.14
Nicolas De La Cruz,MF,Uruguay,25-200,1997,2,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0.09,0.09,0.09
Nicolas Otamendi,DF,Argentina,34-309,1988,7,7,690,7.7,0,1,0,0,0,2,0,0,0.13,0.13,0,0.13,0,0,0.2,0.2,0,0.02,0.03,0,0.03
Nicolas Tagliafico,DF,Argentina,30-109,1992,6,3,373,4.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.2,1.2,0.26,0.05,0.31,0.26,0.31
Niklas Sule,DF,Germany,27-106,1995,3,3,269,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0,0.04,0.04,0.04
Nikola Milenkovic,DF,Serbia,25-067,1997,3,3,270,3,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0,0.2,0.06,0,0.06,0.06,0.06
Nikola Vlasic,FW,Croatia,25-075,1997,6,1,209,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0.25,0,0.25,0.25,0.25
Noa Lang,MF,Netherlands,23-184,1999,1,0,8,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
Noah Okafor,FW,Switzerland,22-208,2000,3,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.05,0.09,0.14,0.05,0.14
Nouhou Tolo,DF,Cameroon,25-178,1997,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noussair Mazraoui,DF,Morocco,25-034,1997,5,5,365,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.04,0.01,0.04,0.04,0.04
Nuno Mendes,DF,Portugal,20-182,2002,1,1,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0.04
Nestor Araujo,DF,Mexico,31-111,1991,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olivier Giroud,FW,France,36-079,1986,6,6,419,4.7,4,0,4,0,0,1,0,0.86,0,0.86,0.86,0.86,3.4,3.4,0.1,3.5,0.72,0.03,0.76,0.72,0.76
Olivier Ntcham,MF,Cameroon,26-312,1996,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.16,0.09,0.25,0.16,0.25
Orbelin Pineda,MF,Mexico,26-269,1996,1,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.38,0.07,0.45,0.38,0.45
Osman Bukari,MF,Ghana,24-005,1998,2,0,59,0.7,1,0,1,0,0,0,0,1.53,0,1.53,1.53,1.53,0.5,0.5,0.1,0.6,0.76,0.09,0.85,0.76,0.85
Otavio,MF,Portugal,27-312,1995,3,3,196,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,0.05,0.17,0.23,0.05,0.23
Ousmane Dembele,FW,France,25-217,1997,7,6,433,4.8,0,2,0,0,0,1,0,0,0.42,0.42,0,0.42,0.5,0.5,1.6,2.1,0.1,0.34,0.44,0.1,0.44
Pablo Sarabia,FW,Spain,30-221,1992,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,,,,,
Paik Seung-ho,MF,Korea Republic,25-276,1997,1,0,26,0.3,1,0,1,0,0,0,0,3.46,0,3.46,3.46,3.46,0,0,0,0,0.15,0,0.15,0.15,0.15
Pape Abou Cisse,DF,Senegal,27-095,1995,3,1,105,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pape Gueye,MF,Senegal,23-328,1999,3,1,153,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.07,0.11,0.18,0.07,0.18
Pape Matar Sarr,MF,Senegal,20-095,2002,2,0,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.2,0.18,0.05,0.23,0.18,0.23
Papu Gomez,MF,Argentina,34-306,1988,2,2,107,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03
Pathe Ciss,MF,Senegal,28-277,1994,3,2,146,1.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02
Pau Torres,DF,Spain,25-336,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paulo Dybala,FW,Argentina,29-033,1993,2,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,1.03,1.03,0,1.03
Pedri,MF,Spain,20-023,2002,4,4,356,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0,0.22,0.22,0,0.22
Pedro,FW,Brazil,25-181,1997,2,0,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,1.39,0,1.39,1.39,1.39
Pepe,DF,Portugal,39-295,1983,4,4,360,4,1,0,1,0,0,0,0,0.25,0,0.25,0.25,0.25,0.4,0.4,0,0.4,0.11,0,0.11,0.11,0.11
Pervis Estupinan,DF,Ecuador,24-331,1998,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,0.02,0.09,0.11,0.02,0.11
Phil Foden,FW,England,22-204,2000,4,3,258,2.9,1,2,1,0,0,0,0,0.35,0.7,1.05,0.35,1.05,1.1,1.1,0.6,1.6,0.38,0.2,0.57,0.38,0.57
Piero Hincapie,DF,Ecuador,20-343,2002,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre Hojbjerg,MF,Denmark,27-135,1995,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.01,0.02,0.01,0.02
Pierre Kunde,MF,Cameroon,27-145,1995,2,2,131,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.15,0.05,0.2,0.15,0.2
Piotr Zielinski,MF,Poland,28-212,1994,4,4,328,3.6,1,0,1,0,0,0,0,0.27,0,0.27,0.27,0.27,0.6,0.6,0.4,1,0.16,0.11,0.26,0.16,0.26
Przemyslaw Frankowski,MF,Poland,27-250,1995,4,3,240,2.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.3,0.01,0.09,0.11,0.01,0.11
Rafael Leao,FW,Portugal,23-191,1999,5,0,88,1,2,0,2,0,0,0,0,2.05,0,2.05,2.05,2.05,0.4,0.4,0.2,0.6,0.42,0.16,0.57,0.42,0.57
Raheem Sterling,FW,England,28-010,1994,3,2,149,1.7,1,1,1,0,0,0,0,0.6,0.6,1.21,0.6,1.21,0.4,0.4,0.1,0.5,0.22,0.09,0.31,0.22,0.31
Ramin Rezaeian,DF,IR Iran,32-272,1990,2,2,180,2,1,0,1,0,0,1,0,0.5,0,0.5,0.5,0.5,0.3,0.3,0.3,0.5,0.13,0.14,0.27,0.13,0.27
Randal Kolo Muani,FW,France,24-013,1998,3,1,182,2,1,0,1,0,0,0,0,0.49,0,0.49,0.49,0.49,1.1,1.1,0,1.1,0.65,0,0.65,0.65,0.65
Raphael Guerreiro,DF,Portugal,28-361,1993,4,3,279,3.1,1,2,1,0,0,0,0,0.32,0.65,0.97,0.32,0.97,0.4,0.4,0.6,1,0.12,0.19,0.31,0.12,0.31
Raphael Varane,DF,France,29-237,1993,6,6,518,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.06,0,0.06,0.06,0.06
Raphinha,FW,Brazil,26-004,1996,5,4,315,3.5,0,1,0,0,0,0,0,0,0.29,0.29,0,0.29,1.2,1.2,1.3,2.5,0.35,0.38,0.72,0.35,0.72
Rasmus Nissen,DF,Denmark,25-160,1997,3,3,224,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
Raul Jimenez,FW,Mexico,31-227,1991,3,0,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remo Freuler,MF,Switzerland,30-247,1992,4,4,323,3.6,1,0,1,0,0,0,0,0.28,0,0.28,0.28,0.28,0.5,0.5,0,0.5,0.14,0,0.14,0.14,0.14
Renato Steffen,FW,Switzerland,31-045,1991,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricardo Horta,FW,Portugal,28-094,1994,3,1,119,1.3,1,0,1,0,0,0,0,0.76,0,0.76,0.76,0.76,0.8,0.8,0.1,0.8,0.58,0.05,0.63,0.58,0.63
Ricardo Rodriguez,DF,Switzerland,30-115,1992,4,4,359,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.04,0.04,0,0.04
Richarlison,FW,Brazil,25-222,1997,4,4,323,3.6,3,0,3,0,0,0,0,0.84,0,0.84,0.84,0.84,2.1,2.1,1,3.1,0.59,0.27,0.86,0.59,0.86
Richie Laryea,DF,Canada,27-345,1995,3,2,160,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,0.04,0.3,0.34,0.04,0.34
Riley McGree,FW,Australia,24-046,1998,4,4,265,2.9,0,1,0,0,0,0,0,0,0.34,0.34,0,0.34,0.1,0.1,0.6,0.8,0.05,0.22,0.27,0.05,0.27
Ritsu Doan,FW,Japan,24-185,1998,4,2,217,2.4,2,0,2,0,0,0,0,0.83,0,0.83,0.83,0.83,0.5,0.5,0.2,0.7,0.21,0.07,0.28,0.21,0.28
Riyadh Sharahili,MF,Saudi Arabia,29-234,1993,1,0,54,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.05
Roan Wilson,MF,Costa Rica,20-231,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Lewandowski,FW,Poland,34-119,1988,4,4,360,4,2,1,1,1,2,0,0,0.5,0.25,0.75,0.25,0.5,2.9,1.4,0.4,1.8,0.73,0.1,0.83,0.34,0.44
Robert Skov,DF,Denmark,26-212,1996,1,0,22,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roberto Alvarado,FW,Mexico,24-102,1998,1,0,18,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodri,DF,Spain,26-179,1996,4,4,390,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.01,0.04,0.05,0.01,0.05
Rodrigo Bentancur,MF,Uruguay,25-176,1997,3,3,213,2.4,0,0,0,0,0,1,0,0,0,0,0,0,0.6,0.6,0.1,0.8,0.26,0.06,0.32,0.26,0.32
Rodrigo De Paul,MF,Argentina,28-208,1994,7,7,599,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0.3,1.2,0.13,0.05,0.18,0.13,0.18
Rodrygo,MF,Brazil,21-343,2001,5,1,181,2,0,1,0,0,0,0,0,0,0.5,0.5,0,0.5,0.4,0.4,0.4,0.9,0.26,0.25,0.52,0.26,0.52
Rogelio Funes Mori,FW,Mexico,31-288,1991,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1.23,0,1.23,1.23,1.23
Romain Sauss,DF,Morocco,32-267,1990,6,6,466,5.2,1,0,1,0,0,1,0,0.19,0,0.19,0.19,0.19,0.8,0.8,0,0.8,0.16,0,0.16,0.16,0.16
Romario Ibarra,MF,Ecuador,28-085,1994,2,1,68,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.19,0,0.19,0.19,0.19
Romelu Lukaku,FW,Belgium,29-219,1993,2,0,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1.7,1.7,0,1.8,2.84,0.06,2.9,2.84,2.9
Roozbeh Cheshmi,DF,IR Iran,29-147,1993,2,1,58,0.6,1,0,1,0,0,0,0,1.55,0,1.55,1.55,1.55,0.1,0.1,0,0.1,0.08,0,0.08,0.08,0.08
Ruben Vargas,FW,Switzerland,24-135,1998,4,4,285,3.2,0,1,0,0,0,1,0,0,0.32,0.32,0,0.32,0.3,0.3,0.6,0.9,0.11,0.19,0.3,0.11,0.3
Rubin Colwill,MF,Wales,20-235,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0.21,0.21,0.21
Ri-Ri,DF,Qatar,32-134,1990,3,3,262,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02
Ronald Matarrita,DF,Costa Rica,28-162,1994,2,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruben Dias,DF,Portugal,25-218,1997,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01
Ruben Neves,MF,Portugal,25-280,1997,5,4,268,3,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0.01,0.04,0.03,0.04
Saad Al Sheeb,GK,Qatar,32-302,1990,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sadegh Moharrami,DF,IR Iran,26-292,1996,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saeid Ezatolahi,MF,IR Iran,26-078,1996,3,2,217,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.04,0.08,0.12,0.04,0.12
Saleh Al-Shehri,FW,Saudi Arabia,29-047,1993,3,3,223,2.5,1,0,1,0,0,1,0,0.4,0,0.4,0.4,0.4,0.1,0.1,0.1,0.2,0.03,0.05,0.09,0.03,0.09
Salem Al-Dawsari,MF,Saudi Arabia,31-121,1991,3,3,270,3,2,0,2,0,1,1,0,0.67,0,0.67,0.67,0.67,1.8,1,0.2,1.2,0.59,0.08,0.67,0.32,0.4
Salis Abdul Samed,MF,Ghana,22-267,2000,3,3,250,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.01,0.02,0.01,0.02
Salman Al-Faraj,MF,Saudi Arabia,33-139,1989,1,1,44,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Adekugbe,DF,Canada,27-336,1995,3,1,95,1.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.09,0.09,0,0.09
Saman Ghoddos,MF,IR Iran,29-103,1993,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.36,0.05,0.41,0.36,0.41
Sami Al-Najei,MF,Saudi Arabia,25-314,1997,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samuel Oum Gouet,MF,Cameroon,25-005,1997,2,1,100,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sardar Azmoun,FW,IR Iran,27-351,1995,3,2,126,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0.1,1,0.67,0.05,0.71,0.67,0.71
Saud Abdulhamid,DF,Saudi Arabia,23-153,1999,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0.01,0.02,0.02,0.01,0.02
Saja Lukic,MF,Serbia,26-127,1996,3,3,245,2.7,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02
Sebastian Szymavski,MF,Poland,23-222,1999,2,2,134,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebastian Coates,DF,Uruguay,32-072,1990,2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.05,0,0.05,0.05,0.05
Selim Amallah,MF,Morocco,26-033,1996,7,4,409,4.5,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.05,0.02,0.07,0.05,0.07
Serge Gnabry,FW,Germany,27-157,1995,3,3,263,2.9,1,1,1,0,0,0,0,0.34,0.34,0.68,0.34,0.68,1.1,1.1,1.5,2.6,0.37,0.51,0.88,0.37,0.88
Sergej Milinkovic-Savic,MF,Serbia,27-294,1995,3,3,233,2.6,1,0,1,0,0,1,0,0.39,0,0.39,0.39,0.39,0.2,0.2,0,0.2,0.07,0,0.07,0.07,0.07
Sergio Busquets,MF,Spain,34-155,1988,4,4,363,4,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.04,0.02,0.06,0.04,0.06
Sergio Rochet,GK,Uruguay,29-270,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergino Dest,DF,United States,22-045,2000,4,4,305,3.4,0,1,0,0,0,1,0,0,0.3,0.3,0,0.3,0.2,0.2,0.5,0.7,0.07,0.15,0.22,0.07,0.22
Shaquell Moore,DF,United States,26-046,1996,2,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shogo Taniguchi,DF,Japan,31-156,1991,2,2,210,2.3,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.12,0,0.12,0.12,0.12
Shaichi Gonda,GK,Japan,33-290,1989,4,4,390,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silvan Widmer,DF,Switzerland,29-288,1993,3,3,265,2.9,0,1,0,0,0,1,0,0,0.34,0.34,0,0.34,0,0,0.8,0.9,0.01,0.29,0.3,0.01,0.3
Simon Kjaer,DF,Denmark,33-267,1989,1,1,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofiane Boufal,FW,Morocco,29-092,1993,7,7,475,5.3,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.3,0.6,0.05,0.06,0.11,0.05,0.11
Sofyan Amrabat,MF,Morocco,26-119,1996,7,7,660,7.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.01,0.01,0,0.01
Son Heung-min,FW,Korea Republic,30-163,1992,4,4,360,4,0,1,0,0,0,0,0,0,0.25,0.25,0,0.25,0.4,0.4,1,1.4,0.11,0.24,0.35,0.11,0.35
Son Jun-ho,MF,Korea Republic,30-220,1992,3,0,72,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sorba Thomas,MF,Wales,23-118,1999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sran Babia,DF,Serbia,26-240,1996,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stefan Mitrovic,DF,Serbia,32-210,1990,1,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Eusta¡quio,MF,Canada,25-362,1996,2,2,125,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,0.13,0.11,0.24,0.13,0.24
Steve Mandanda,GK,France,37-265,1985,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven Berghuis,MF,Netherlands,30-364,1991,4,1,200,2.2,0,1,0,0,0,1,0,0,0.45,0.45,0,0.45,0.3,0.3,0.1,0.3,0.13,0.04,0.17,0.13,0.17
Steven Bergwijn,FW,Netherlands,25-071,1997,4,3,213,2.4,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0,0.5,0.21,0,0.21,0.21,0.21
Steven Vitaria,DF,Canada,35-341,1987,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strahinja Pavlovia,DF,Serbia,21-208,2001,3,3,235,2.6,1,0,1,0,0,2,0,0.38,0,0.38,0.38,0.38,0.2,0.2,0,0.2,0.07,0,0.07,0.07,0.07
Sultan Al-Ghanam,DF,Saudi Arabia,28-226,1994,3,1,126,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,0.12,0.05,0.17,0.12,0.17
Taha Yassine Khenissi,FW,Tunisia,30-346,1992,2,0,29,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.2,0.06,0.45,0.51,0.06,0.51
