player ID,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
164,DF,Netherlands,26-244,1996,5.3,1,1,1,100,0.19,0.19,1,1,8.7,0,0,0,0.4,0.4,0.38,0.6,0.6
165,GK,Cameroon,29-319,1993,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
166,DF,Uruguay,36-305,1986,1.7,0,1,0,0,0.6,0,0,,10.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1
167,GK,Portugal,23-090,1999,5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
168,DF,Portugal,23-275,1999,2.9,0,1,1,100,0.35,0.35,0,0,29.8,0,0,0,0,0,0.04,0,0
169,MF,Switzerland,25-315,1997,2.9,0,2,0,0,0.68,0,0,,15.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2
170,FW,Ecuador,23-334,1999,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
171,GK,Croatia,27-343,1995,7.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
172,MF,Belgium,35-226,1987,0.8,0,3,1,33.3,3.55,1.18,0,0,14.7,0,0,0,0.8,0.8,0.27,-0.8,-0.8
173,MF,Serbia,34-028,1988,2.9,0,1,0,0,0.35,0,0,,13.3,0,0,0,0.1,0.1,0.08,-0.1,-0.1
174,FW,Serbia,22-324,2000,0.9,1,3,3,100,3.42,3.42,0.33,0.33,10.9,0,0,0,0.8,0.8,0.27,0.2,0.2
175,DF,Tunisia,27-182,1995,1.8,0,1,0,0,0.56,0,0,,17.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1
176,MF,Belgium,31-345,1991,1.4,0,1,1,100,0.73,0.73,0,0,18.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1
177,GK,Brazil,29-123,1993,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
178,FW,Switzerland,26-247,1996,1.6,0,1,0,0,0.62,0,0,,24.2,0,0,0,0,0,0.03,0,0
179,FW,Uruguay,35-307,1987,1.4,0,3,0,0,2.18,0,0,,13.8,0,0,0,0.3,0.3,0.1,-0.3,-0.3
180,GK,Senegal,30-292,1992,4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
181,MF,Mexico,25-055,1997,1.9,0,1,1,100,0.51,0.51,0,0,33.1,0,0,0,0,0,0.02,0,0
182,DF,France,20-038,2002,1.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
183,MF,IR Iran,32-296,1990,2.6,0,1,0,0,0.38,0,0,,14.4,0,0,0,0.2,0.2,0.16,-0.2,-0.2
184,MF,Tunisia,27-222,1995,3,0,2,0,0,0.67,0,0,,22.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
185,GK,Argentina,30-107,1992,7.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
186,FW,Ecuador,33-044,1989,2.8,3,8,3,37.5,2.82,1.06,0.25,0.67,18.9,1,1,1,2.3,1.5,0.19,0.7,0.5
187,DF,Cameroon,23-282,1999,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
188,MF,Argentina,21-335,2001,6.3,1,8,3,37.5,1.28,0.48,0.13,0.33,24.9,0,0,0,0.3,0.3,0.04,0.7,0.7
189,DF,Switzerland,24-317,1998,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
190,DF,England,28-337,1994,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
191,FW,Cameroon,33-270,1989,2.8,1,3,2,66.7,1.07,0.71,0.33,0.5,9.1,0,0,0,0.8,0.8,0.28,0.2,0.2
192,MF,Mexico,27-186,1995,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
193,MF,Wales,22-095,2000,2.8,0,1,0,0,0.35,0,0,,32.4,0,0,0,0,0,0.04,0,0
194,MF,Brazil,33-252,1989,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
195,MF,Argentina,24-074,1998,0.6,0,1,0,0,1.8,0,0,,16.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1
196,MF,Switzerland,33-344,1989,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
197,FW,Switzerland,20-305,2002,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
198,DF,Switzerland,30-363,1991,1.5,0,2,0,0,1.33,0,0,,16.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
199,MF,Brazil,29-056,1993,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
200,MF,Uruguay,20-363,2001,2,0,1,0,0,0.5,0,0,,11.5,0,0,0,0.2,0.2,0.17,-0.2,-0.2
201,FW,Senegal,30-003,1992,1,1,3,1,33.3,2.93,0.98,0.33,1,9.1,0,0,0,0.2,0.2,0.07,0.8,0.8
202,MF,Uruguay,24-149,1998,3,0,7,1,14.3,2.33,0.33,0,0,33,0,0,0,0.2,0.2,0.02,-0.2,-0.2
203,MF,Tunisia,30-275,1992,0.5,0,1,0,0,1.87,0,0,,33.3,0,0,0,0,0,0.02,0,0
204,FW,Spain,22-292,2000,2.4,2,3,1,33.3,1.24,0.41,0.33,1,17.1,0,1,1,1,0.2,0.08,1,0.8
205,DF,Serbia,30-047,1992,2,0,1,0,0,0.5,0,0,,18.3,0,0,0,0,0,0.02,0,0
206,DF,Serbia,31-125,1991,0.7,0,1,0,0,1.38,0,0,,10.7,0,0,0,0,0,0.02,0,0
207,MF,Serbia,30-322,1992,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
208,MF,Saudi Arabia,22-218,2000,3,0,2,0,0,0.67,0,0,,15.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1
209,DF,Senegal,25-349,1997,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
210,DF,Australia,26-220,1996,1,0,3,0,0,2.9,0,0,,26.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2
211,DF,Costa Rica,30-163,1992,2,0,1,0,0,0.5,0,0,,28.8,0,0,0,0,0,0.01,0,0
212,MF,Brazil,29-288,1993,1.6,0,3,1,33.3,1.9,0.63,0,0,18.3,0,0,0,0.3,0.3,0.11,-0.3,-0.3
213,MF,Netherlands,25-220,1997,5.3,1,2,1,50,0.38,0.19,0.5,1,14.2,0,0,0,0.9,0.9,0.44,0.1,0.1
214,DF,Ecuador,25-341,1997,3,0,1,0,0,0.33,0,0,,8.5,0,0,0,0.1,0.1,0.12,-0.1,-0.1
215,FW,Brazil,25-259,1997,1,0,2,1,50,1.94,0.97,0,0,8.8,0,0,0,0.4,0.4,0.18,-0.4,-0.4
216,FW,Australia,18-094,2004,0.4,0,1,1,100,2.43,2.43,0,0,9.6,0,0,0,0.4,0.4,0.38,-0.4,-0.4
217,FW,Wales,33-155,1989,2.5,1,1,1,100,0.4,0.4,0,0,46.6,0,1,1,0.8,0,0.02,0.2,0
218,MF,Spain,18-135,2004,3.2,1,1,1,100,0.32,0.32,1,1,17.6,0,0,0,0.1,0.1,0.14,0.9,0.9
219,MF,Cameroon,27-044,1995,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
